BOD,type,treat,water.vol,acetone.vol,dilut.vol,RFU.pre,RFU.acid
8,mud,CPOM,5,10,30,44452,43217.3
3,mud,CPOM,5,10,30,145855.18,138847.07
1,mud,CPOM,5,10,30,57822.56,48611.52
7,mud,CPOM,5,10,30,65744.38,77914.99
4,mud,CPOM,5,10,30,36483.97,20420.15
6,mud,CTL,5,10,30,460309.75,157147.34
9,mud,CTL,5,10,30,72131.48,55123.29
5,mud,CTL,5,10,30,76209.39,47230
2,mud,CTL,5,10,30,129720.81,78075.16
10,mud,CTL,5,10,30,35166.96,53956.09
4,water,CPOM,35,10,NA,44673.07,13568.16
7,water,CPOM,35,10,NA,393727.18,97982.96
1,water,CPOM,35,10,NA,49075.35,32037.59
3,water,CPOM,35,10,NA,58333.84,39399.37
8,water,CPOM,35,10,NA,42512.87,50176.45
10,water,CTL,85,10,NA,188634.85,14634.87
2,water,CTL,85,10,NA,369309.25,217790.32
5,water,CTL,85,10,NA,152689.76,43371.95
9,water,CTL,55,10,NA,12537.64,18414.4
6,water,CTL,85,10,NA,133951,63397.9
A,water,INIT,110,10,NA,63252.5,36693.05
B,water,INIT,110,10,NA,37882.3,20234.83
C,water,INIT,110,10,NA,41415.94,21037.17
